"AQC00914000"
DATE,ELEVATION,dly-snwd-25pctl,dly-snwd-pctall-ge001wi,dly-snow-ge001ti
01-11,"408.4" ft,"22","S","P"
02-11,"408.4" ft,"22","S","P"
03-11,"408.4" ft,"22","S","P"
04-11,"408.4" ft,"22","S","P"
05-11,"408.4" ft,"22","S","P"
06-11,"408.4" ft,"22","S","P"
07-11,"408.4" ft,"22","S","P"
08-11,"408.4" ft,"22","S","P"
09-11,"408.4" ft,"23","S","P"
10-11,"408.4" ft,"23","S","P"
11-11,"408.4" ft,"23","S","P"
12-11,"408.4" ft,"23","S","P"
13-11,"408.4" ft,"23","S","P"
14-11,"408.4" ft,"23","S","P"
15-11,"408.4" ft,"23","S","P"
16-11,"408.4" ft,"23","S","P"
17-11,"408.4" ft,"24","S","P"
18-11,"408.4" ft,"24","S","P"
19-11,"408.4" ft,"24","S","P"
20-11,"408.4" ft,"24","S","P"
21-11,"408.4" ft,"24","S","P"
22-11,"408.4" ft,"24","S","P"
23-11,"408.4" ft,"24","S","P"
24-11,"408.4" ft,"24","S","P"
25-11,"408.4" ft,"24","S","P"
26-11,"408.4" ft,"24","P","P"
27-11,"408.4" ft,"25","P","P"
28-11,"408.4" ft,"25","P","P"
29-11,"408.4" ft,"25","P","P"
30-11,"408.4" ft,"25","P","P"
01-12,"408.4" ft,"25","P","P"
02-12,"408.4" ft,"25","P","P"
03-12,"408.4" ft,"25","P","P"
04-12,"408.4" ft,"25","P","P"
05-12,"408.4" ft,"25","P","P"
06-12,"408.4" ft,"25","S","P"
07-12,"408.4" ft,"25","S","P"
08-12,"408.4" ft,"25","S","P"
09-12,"408.4" ft,"25","S","P"
10-12,"408.4" ft,"25","S","P"
11-12,"408.4" ft,"25","S","P"
12-12,"408.4" ft,"25","S","P"
13-12,"408.4" ft,"25","S","P"
14-12,"408.4" ft,"25","S","P"
15-12,"408.4" ft,"25","S","P"
16-12,"408.4" ft,"25","S","P"
17-12,"408.4" ft,"25","S","P"
18-12,"408.4" ft,"25","S","P"
19-12,"408.4" ft,"25","S","P"
20-12,"408.4" ft,"25","S","P"
21-12,"408.4" ft,"25","S","P"
22-12,"408.4" ft,"25","S","P"
23-12,"408.4" ft,"25","S","P"
24-12,"408.4" ft,"25","S","P"
25-12,"408.4" ft,"25","S","P"
26-12,"408.4" ft,"25","S","P"
27-12,"408.4" ft,"25","P","P"
28-12,"408.4" ft,"25","P","P"
29-12,"408.4" ft,"25","P","P"
30-12,"408.4" ft,"26","P","P"
31-12,"408.4" ft,"26","P","P"
